Nodo,No. Paquete,Estatus del paquete,Tiempo de entrega,No. SEQ, No. Veces enviado,Tamaño en bytes,Iteración,Semilla,TTS,No. Paquetes a enviar,TA,TB 
0,1,1,4.784024,453806247,4,1000,1,807,5.000136,1,1,1
0,1,1,2.871696,453806247,2,1000,1,808,3.000053,1,1,1
0,1,1,2.891067,453806247,2,1000,1,815,3.000067,1,1,1
0,1,1,3.835183,453806247,3,1000,1,819,4.000182,1,1,1
0,1,1,2.822706,453806247,2,1000,1,820,3.000098,1,1,1
0,1,1,2.360618,453806247,2,1000,1,825,3.000129,1,1,1
0,1,1,2.535808,453806247,2,1000,1,827,3.000112,1,1,1
0,1,1,2.973721,453806247,2,1000,1,832,3.000143,1,1,1
0,1,1,2.45009,453806247,2,1000,1,837,3.000175,1,1,1
0,1,1,3.855484,453806247,3,1000,1,839,4.000157,1,1,1
0,1,1,2.863648,453806247,2,1000,1,842,3.000056,1,1,1
0,1,1,2.739049,453806247,2,1000,1,844,3.000189,1,1,1
0,1,1,2.782449,453806247,2,1000,1,849,3.00007,1,1,1
0,1,1,2.800699,453806247,2,1000,1,854,3.000102,1,1,1
0,1,1,2.988222,453806247,2,1000,1,855,3.000168,1,1,1
0,1,1,2.909264,453806247,2,1000,1,859,3.000133,1,1,1
0,1,1,2.389621,453806247,2,1000,1,871,3.000178,1,1,1
0,1,1,2.790189,453806247,2,1000,1,872,3.000095,1,1,1
0,1,1,4.85503,453806247,4,1000,1,876,5.00006,1,1,1
0,1,1,3.801031,453806247,3,1000,1,878,4.000192,1,1,1
0,1,1,4.808358,453806247,4,1000,1,882,5.000157,1,1,1
0,1,1,2.773831,453806247,2,1000,1,883,3.000074,1,1,1
0,1,1,2.812021,453806247,2,1000,1,884,3.00014,1,1,1
0,1,1,3.878694,453806247,3,1000,1,888,4.000105,1,1,1
0,1,1,2.989859,453806247,2,1000,1,889,3.000171,1,1,1
0,1,1,2.73019,453806247,2,1000,1,894,3.000053,1,1,1
0,1,1,3.491795,453806247,3,1000,1,895,4.000119,1,1,1
0,1,1,5.837517,453806247,5,1000,1,898,6.000168,1,1,1
0,1,1,2.917375,453806247,2,1000,1,901,3.000067,1,1,1
0,1,1,2.835625,453806247,2,1000,1,906,3.000098,1,1,1
0,1,1,2.793195,453806247,2,1000,1,911,3.000129,1,1,1
0,1,1,3.980717,453806247,3,1000,1,912,4.000196,1,1,1
0,1,1,3.962439,453806247,3,1000,1,916,4.000161,1,1,1
0,1,1,2.874003,453806247,2,1000,1,918,3.000143,1,1,1
0,1,1,2.944204,453806247,2,1000,1,923,3.000175,1,1,1
0,1,1,2.792172,453806247,2,1000,1,928,3.000056,1,1,1
0,1,1,3.469789,453806247,3,1000,1,929,4.000122,1,1,1
0,1,1,2.895835,453806247,2,1000,1,930,3.000189,1,1,1
0,1,1,2.995219,453806247,2,1000,1,935,3.00007,1,1,1
0,1,1,3.906827,453806247,3,1000,1,936,4.000136,1,1,1
0,1,1,2.814154,453806247,2,1000,1,940,3.000102,1,1,1
0,1,1,3.917817,453806247,3,1000,1,942,4.000084,1,1,1
0,1,1,5.935021,453806247,5,1000,1,943,6.00015,1,1,1
0,1,1,2.771183,453806247,2,1000,1,945,3.000133,1,1,1
0,1,1,2.958705,453806247,2,1000,1,946,3.000199,1,1,1
0,1,1,3.745808,453806247,3,1000,1,947,4.000115,1,1,1
0,1,1,4.95049,453806247,4,1000,1,960,5.000077,1,1,1
0,1,1,2.9888,453806247,2,1000,1,963,3.000126,1,1,1
0,1,1,2.965145,453806247,2,1000,1,968,3.000157,1,1,1
0,1,1,2.968808,453806247,2,1000,1,970,3.00014,1,1,1
0,1,1,4.474229,453806247,4,1000,1,973,5.000189,1,1,1
0,1,1,2.498792,453806247,2,1000,1,975,3.000171,1,1,1
0,1,1,3.849177,453806247,3,1000,1,979,4.000136,1,1,1
0,1,1,2.886971,453806247,2,1000,1,980,3.000053,1,1,1
0,1,1,3.994299,453806247,3,1000,1,984,4.000168,1,1,1
0,1,1,2.496055,453806247,2,1000,1,985,3.000084,1,1,1
0,1,1,3.997962,453806247,3,1000,1,986,4.00015,1,1,1
0,1,1,2.908953,453806247,2,1000,1,992,3.000098,1,1,1
0,1,1,6.772019,453806247,6,1000,1,994,7.000081,1,1,1
0,1,1,3.338098,453806247,3,1000,1,996,4.000063,1,1,1
0,1,1,2.780183,453806247,2,1000,1,997,3.000129,1,1,1
